held_out_subject,comparison,outer_fold,classifier,accuracy,n_selected_features,selected_features,sfs_inner_accuracy,grid_inner_accuracy,best_params
irene,rest2_vs_type2,1,KFDA,0.5333333333333333,8,COH__FP1__F3__beta_high;COH__FP1__FP2__alpha;COH__FP1__F7__alpha;COH__F7__F3__alpha;COH__F7__Fz__beta_low;ASYM_LOGRATIO__FP1__FP2__alpha;COH__F4__F8__alpha;ASYM_LOGRATIO__FP1__FP2__beta_low,0.7041666666666667,0.6916666666666667,"{""clf__C"": 1000.0, ""clf__gamma"": 0.007604489997873477}"
jh,rest2_vs_type2,2,LDA,0.5166666666666667,4,COH__F7__F3__alpha;ASYM_LOGRATIO__F3__F4__beta_low;ASYM_LOGRATIO__FP1__FP2__alpha;COH__FP1__F8__alpha,0.7125,,{}
jh,rest2_vs_type2,2,RBF-SVM,0.5,4,COH__F7__F3__alpha;ASYM_LOGRATIO__F3__F4__beta_low;ASYM_LOGRATIO__FP1__FP2__alpha;COH__FP1__F8__alpha,0.7125,0.6666666666666666,"{""clf__C"": 1.0, ""clf__gamma"": 0.007604489997873477}"
jh,rest2_vs_type2,2,KFDA,0.48333333333333334,4,COH__F7__F3__alpha;ASYM_LOGRATIO__F3__F4__beta_low;ASYM_LOGRATIO__FP1__FP2__alpha;COH__FP1__F8__alpha,0.7125,0.6375,"{""clf__C"": 1000.0, ""clf__gamma"": 0.007604489997873477}"
lin,rest2_vs_type2,3,LDA,0.5,2,COH__FP2__F4__beta_low;BP__F7__theta,0.6125,,{}
lin,rest2_vs_type2,3,RBF-SVM,0.5,2,COH__FP2__F4__beta_low;BP__F7__theta,0.6125,0.6083333333333334,"{""clf__C"": 1.0, ""clf__gamma"": 0.03286616756321879}"
lin,rest2_vs_type2,3,KFDA,0.36666666666666664,2,COH__FP2__F4__beta_low;BP__F7__theta,0.6125,0.575,"{""clf__C"": 10.0, ""clf__gamma"": 0.012386912896918909}"
pftest,rest2_vs_type2,4,LDA,0.6166666666666667,5,COH__F7__F3__alpha;BP__F7__beta_high;COH__F7__F3__beta_low;COH__FP2__F8__alpha;COH__F3__F8__alpha,0.6916666666666667,,{}
pftest,rest2_vs_type2,4,RBF-SVM,0.5666666666666667,5,COH__F7__F3__alpha;BP__F7__beta_high;COH__F7__F3__beta_low;COH__FP2__F8__alpha;COH__F3__F8__alpha,0.6916666666666667,0.6333333333333333,"{""clf__C"": 1.0, ""clf__gamma"": 0.012386912896918909}"
pftest,rest2_vs_type2,4,KFDA,0.6,5,COH__F7__F3__alpha;BP__F7__beta_high;COH__F7__F3__beta_low;COH__FP2__F8__alpha;COH__F3__F8__alpha,0.6916666666666667,0.6041666666666666,"{""clf__C"": 10.0, ""clf__gamma"": 0.03286616756321879}"
yen,rest2_vs_type2,5,LDA,0.5333333333333333,5,COH__F7__F3__alpha;COH__F7__F4__alpha;COH__F3__F8__delta;COH__FP1__F7__delta;COH__F7__F8__beta_high,0.7083333333333334,,{}
yen,rest2_vs_type2,5,RBF-SVM,0.5333333333333333,5,COH__F7__F3__alpha;COH__F7__F4__alpha;COH__F3__F8__delta;COH__FP1__F7__delta;COH__F7__F8__beta_high,0.7083333333333334,0.6833333333333333,"{""clf__C"": 1.0, ""clf__gamma"": 0.012386912896918909}"
yen,rest2_vs_type2,5,KFDA,0.5166666666666667,5,COH__F7__F3__alpha;COH__F7__F4__alpha;COH__F3__F8__delta;COH__FP1__F7__delta;COH__F7__F8__beta_high,0.7083333333333334,0.6958333333333333,"{""clf__C"": 10.0, ""clf__gamma"": 0.14204568230027764}"
