comparison,classifier,lopo_accuracy_mean,lopo_accuracy_std,n_held_out_subjects,pooled_epoch_accuracy
rest1_vs_type1,KFDA,0.52,0.02173067468400884,5,0.52
rest1_vs_type1,LDA,0.5166666666666666,0.042491829279939886,5,0.5166666666666667
rest1_vs_type1,RBF-SVM,0.51,0.014907119849998601,5,0.51
rest2_vs_type2,KFDA,0.5,0.08579691784155834,5,0.5
rest2_vs_type2,LDA,0.5466666666666666,0.04624812308503869,5,0.5466666666666666
rest2_vs_type2,RBF-SVM,0.5266666666666666,0.027888667551135844,5,0.5266666666666666
