held_out_subject,comparison,outer_fold,classifier,accuracy,n_selected_features,selected_features,sfs_inner_accuracy,grid_inner_accuracy,best_params
jh,rest2_vs_type2,2,LDA,0.5,2,COH__F7__F3__alpha;COH__F3__F4__beta_high,0.6833333333333333,,{}
jh,rest2_vs_type2,2,RBF-SVM,0.5,2,COH__F7__F3__alpha;COH__F3__F4__beta_high,0.6833333333333333,0.6708333333333333,"{""clf__C"": 10.0, ""clf__gamma"": 0.007604489997873477}"
jh,rest2_vs_type2,2,KFDA,0.5833333333333334,2,COH__F7__F3__alpha;COH__F3__F4__beta_high,0.6833333333333333,0.5958333333333333,"{""clf__C"": 50.0, ""clf__gamma"": 1.0}"
lin,rest2_vs_type2,3,LDA,0.5,2,COH__FP2__F4__beta_low;COH__FP2__F4__theta,0.6083333333333333,,{}
lin,rest2_vs_type2,3,RBF-SVM,0.5,2,COH__FP2__F4__beta_low;COH__FP2__F4__theta,0.6083333333333333,0.5833333333333334,"{""clf__C"": 0.1, ""clf__gamma"": 0.007604489997873477}"
lin,rest2_vs_type2,3,KFDA,0.3333333333333333,2,COH__FP2__F4__beta_low;COH__FP2__F4__theta,0.6083333333333333,0.5916666666666667,"{""clf__C"": 10.0, ""clf__gamma"": 0.02017697586015141}"
pftest,rest2_vs_type2,4,LDA,0.4666666666666667,5,COH__F7__F3__alpha;COH__FP2__Fz__beta_high;COH__F4__F8__beta_low;COH__FP1__F4__alpha;COH__Fz__F8__alpha,0.6958333333333334,,{}
pftest,rest2_vs_type2,4,RBF-SVM,0.5333333333333333,5,COH__F7__F3__alpha;COH__FP2__Fz__beta_high;COH__F4__F8__beta_low;COH__FP1__F4__alpha;COH__Fz__F8__alpha,0.6958333333333334,0.6499999999999999,"{""clf__C"": 1.0, ""clf__gamma"": 0.007604489997873477}"
pftest,rest2_vs_type2,4,KFDA,0.4666666666666667,5,COH__F7__F3__alpha;COH__FP2__Fz__beta_high;COH__F4__F8__beta_low;COH__FP1__F4__alpha;COH__Fz__F8__alpha,0.6958333333333334,0.6208333333333333,"{""clf__C"": 100.0, ""clf__gamma"": 0.012386912896918909}"
yen,rest2_vs_type2,5,LDA,0.5333333333333333,5,COH__F7__F3__alpha;COH__F7__F4__alpha;COH__F3__F8__delta;COH__FP1__F7__delta;COH__F7__F8__beta_high,0.7083333333333334,,{}
yen,rest2_vs_type2,5,RBF-SVM,0.5333333333333333,5,COH__F7__F3__alpha;COH__F7__F4__alpha;COH__F3__F8__delta;COH__FP1__F7__delta;COH__F7__F8__beta_high,0.7083333333333334,0.6833333333333333,"{""clf__C"": 1.0, ""clf__gamma"": 0.012386912896918909}"
yen,rest2_vs_type2,5,KFDA,0.5166666666666667,5,COH__F7__F3__alpha;COH__F7__F4__alpha;COH__F3__F8__delta;COH__FP1__F7__delta;COH__F7__F8__beta_high,0.7083333333333334,0.6958333333333333,"{""clf__C"": 10.0, ""clf__gamma"": 0.14204568230027764}"
