comparison,classifier,lopo_accuracy_mean,lopo_accuracy_std,n_held_out_subjects,pooled_epoch_accuracy
rest1_vs_type1,KFDA,0.5399999999999999,0.038369548110737776,5,0.54
rest1_vs_type1,LDA,0.5433333333333333,0.06728876412728783,5,0.5433333333333333
rest1_vs_type1,RBF-SVM,0.5333333333333333,0.048591265790377515,5,0.5333333333333333
rest2_vs_type2,KFDA,0.47333333333333333,0.09174239296348592,5,0.47333333333333333
rest2_vs_type2,LDA,0.4966666666666667,0.024720661623652204,5,0.49666666666666665
rest2_vs_type2,RBF-SVM,0.5066666666666666,0.027888667551135844,5,0.5066666666666667
