comparison,classifier,participant_accuracy_mean,participant_accuracy_std,n_subjects
rest1_vs_type1,KFDA,0.8466666666666667,0.07207249436813216,5
rest1_vs_type1,LDA,0.85,0.09128709291752768,5
rest1_vs_type1,RBF-SVM,0.8366666666666667,0.09082951062292473,5
rest2_vs_type2,KFDA,0.7166666666666666,0.16201851746019644,5
rest2_vs_type2,LDA,0.7299999999999999,0.13560563737871995,5
rest2_vs_type2,RBF-SVM,0.72,0.15872757934412163,5
