scope,experiment,unit_id,comparison,classifier,accuracy_mean_baseline,accuracy_mean_extension,delta_accuracy
inter,e1_asymmetry,lin,rest2_vs_type2,KFDA,0.3666666666666666,0.3666666666666666,0.0
inter,e1_asymmetry,pftest,rest2_vs_type2,LDA,0.6166666666666667,0.6166666666666667,0.0
inter,e1_asymmetry,pftest,rest2_vs_type2,RBF-SVM,0.5666666666666667,0.5666666666666667,0.0
inter,e1_asymmetry,pftest,rest2_vs_type2,KFDA,0.6,0.6,0.0
inter,e1_asymmetry,yen,rest2_vs_type2,LDA,0.5333333333333333,0.5333333333333333,0.0
inter,e1_asymmetry,yen,rest2_vs_type2,RBF-SVM,0.5333333333333333,0.5333333333333333,0.0
inter,e1_asymmetry,yen,rest2_vs_type2,KFDA,0.5166666666666667,0.5166666666666667,0.0
intra,e2_plv,irene,rest1_vs_type1,KFDA,0.7166666666666667,0.8,0.08333333333333337
intra,e2_plv,irene,rest1_vs_type1,LDA,0.7333333333333333,0.7333333333333333,0.0
intra,e2_plv,irene,rest1_vs_type1,RBF-SVM,0.7666666666666667,0.7166666666666667,-0.050000000000000044
intra,e2_plv,irene,rest2_vs_type2,KFDA,0.7666666666666667,0.6166666666666667,-0.15000000000000002
intra,e2_plv,irene,rest2_vs_type2,LDA,0.7,0.65,-0.04999999999999993
intra,e2_plv,irene,rest2_vs_type2,RBF-SVM,0.75,0.6666666666666666,-0.08333333333333337
intra,e2_plv,jh,rest1_vs_type1,KFDA,0.7166666666666667,0.8166666666666667,0.09999999999999998
intra,e2_plv,jh,rest1_vs_type1,LDA,0.6666666666666666,0.8166666666666668,0.15000000000000013
intra,e2_plv,jh,rest1_vs_type1,RBF-SVM,0.6166666666666666,0.8166666666666667,0.20000000000000007
intra,e2_plv,jh,rest2_vs_type2,KFDA,0.6166666666666666,0.6166666666666667,1.1102230246251565e-16
intra,e2_plv,jh,rest2_vs_type2,LDA,0.6166666666666666,0.5833333333333334,-0.033333333333333215
intra,e2_plv,jh,rest2_vs_type2,RBF-SVM,0.6333333333333334,0.6333333333333334,0.0
intra,e2_plv,lin,rest1_vs_type1,KFDA,0.9333333333333332,0.9333333333333332,0.0
intra,e2_plv,lin,rest1_vs_type1,LDA,0.9166666666666666,0.9166666666666666,0.0
intra,e2_plv,lin,rest1_vs_type1,RBF-SVM,0.9333333333333332,0.9333333333333332,0.0
intra,e2_plv,lin,rest2_vs_type2,KFDA,0.8333333333333333,0.85,0.01666666666666672
intra,e2_plv,lin,rest2_vs_type2,LDA,0.8333333333333334,0.9,0.06666666666666665
intra,e2_plv,lin,rest2_vs_type2,RBF-SVM,0.8333333333333334,0.85,0.016666666666666607
intra,e2_plv,pftest,rest1_vs_type1,KFDA,0.95,0.95,0.0
intra,e2_plv,pftest,rest1_vs_type1,LDA,0.95,0.95,0.0
intra,e2_plv,pftest,rest1_vs_type1,RBF-SVM,0.95,0.95,0.0
intra,e2_plv,pftest,rest2_vs_type2,KFDA,0.8333333333333334,0.8166666666666667,-0.01666666666666672
intra,e2_plv,pftest,rest2_vs_type2,LDA,0.8333333333333334,0.8333333333333334,0.0
intra,e2_plv,pftest,rest2_vs_type2,RBF-SVM,0.8333333333333334,0.8333333333333334,0.0
intra,e2_plv,yen,rest1_vs_type1,KFDA,0.8,0.7333333333333334,-0.06666666666666665
intra,e2_plv,yen,rest1_vs_type1,LDA,0.75,0.7,-0.050000000000000044
intra,e2_plv,yen,rest1_vs_type1,RBF-SVM,0.8166666666666667,0.7666666666666666,-0.050000000000000044
intra,e2_plv,yen,rest2_vs_type2,KFDA,0.5333333333333334,0.5166666666666667,-0.01666666666666672
intra,e2_plv,yen,rest2_vs_type2,LDA,0.5666666666666667,0.4666666666666667,-0.09999999999999998
intra,e2_plv,yen,rest2_vs_type2,RBF-SVM,0.5166666666666667,0.4833333333333334,-0.033333333333333326
inter,e2_plv,irene,rest1_vs_type1,LDA,0.4833333333333333,0.7166666666666667,0.2333333333333334
