experiment,reference,scope,comparison,classifier,delta_mean,delta_std,n_units
e3_all_extensions,poster_baseline,inter,rest1_vs_type1,LDA,0.12333333333333334,0.12281422284627029,5
e3_all_extensions,poster_baseline,inter,rest1_vs_type1,RBF-SVM,0.07666666666666666,0.11522924011629067,5
e3_all_extensions,poster_baseline,inter,rest2_vs_type2,KFDA,3.3306690738754695e-17,0.035355339059327376,5
e3_all_extensions,poster_baseline,inter,rest2_vs_type2,LDA,0.0033333333333333435,0.013944333775567969,5
e3_all_extensions,poster_baseline,inter,rest2_vs_type2,RBF-SVM,-0.0033333333333333327,0.021730674684008824,5
e3_all_extensions,poster_baseline,intra,rest1_vs_type1,KFDA,0.03333333333333335,0.08079466429027217,5
e3_all_extensions,poster_baseline,intra,rest1_vs_type1,LDA,0.056666666666666685,0.10246950765959603,5
e3_all_extensions,poster_baseline,intra,rest1_vs_type1,RBF-SVM,0.06333333333333332,0.11389566375513262,5
e3_all_extensions,poster_baseline,intra,rest2_vs_type2,KFDA,-0.0033333333333333214,0.02173067468400892,5
e3_all_extensions,poster_baseline,intra,rest2_vs_type2,LDA,-0.006666666666666665,0.06078194176270155,5
e3_all_extensions,poster_baseline,intra,rest2_vs_type2,RBF-SVM,-0.010000000000000031,0.022360679774997907,5
