experiment,reference,scope,comparison,classifier,delta_mean,delta_std,n_units
e2d_asym_plv,e2_full_baseline_plv,intra,rest2_vs_type2,KFDA,0.033333333333333305,0.12190615698606493,5
e2d_asym_plv,e2_full_baseline_plv,intra,rest2_vs_type2,LDA,0.043333333333333245,0.08787617550976047,5
e2d_asym_plv,e2_full_baseline_plv,intra,rest2_vs_type2,RBF-SVM,0.02666666666666666,0.12224747213928172,5
e3_all_extensions,e2_full_baseline_plv,inter,rest1_vs_type1,KFDA,-0.046666666666666655,0.07302967433402213,5
e3_all_extensions,e2_full_baseline_plv,inter,rest1_vs_type1,LDA,-0.040000000000000015,0.05602578771323872,5
e3_all_extensions,e2_full_baseline_plv,inter,rest1_vs_type1,RBF-SVM,-0.05,0.07453559924999298,5
e3_all_extensions,e2_full_baseline_plv,inter,rest2_vs_type2,KFDA,-0.0033333333333333327,0.007453559924999298,5
e3_all_extensions,e2_full_baseline_plv,inter,rest2_vs_type2,LDA,0.0033333333333333435,0.007453559924999322,5
e3_all_extensions,e2_full_baseline_plv,inter,rest2_vs_type2,RBF-SVM,-0.0033333333333333327,0.007453559924999329,5
e3_all_extensions,e2_full_baseline_plv,intra,rest1_vs_type1,KFDA,0.010000000000000009,0.014907119849998603,5
e3_all_extensions,e2_full_baseline_plv,intra,rest1_vs_type1,LDA,0.03666666666666667,0.07302967433402219,5
e3_all_extensions,e2_full_baseline_plv,intra,rest1_vs_type1,RBF-SVM,0.043333333333333335,0.08787617550976043,5
e3_all_extensions,e2_full_baseline_plv,intra,rest2_vs_type2,KFDA,0.030000000000000006,0.04915960401250871,5
e3_all_extensions,e2_full_baseline_plv,intra,rest2_vs_type2,LDA,0.01666666666666663,0.028867513459481232,5
e3_all_extensions,e2_full_baseline_plv,intra,rest2_vs_type2,RBF-SVM,0.010000000000000009,0.022360679774997852,5
