role,experiment,feature_set,n_candidate_features,scope,comparison,classifier,accuracy_mean,accuracy_std,n_units
experiment,e3_all_extensions,baseline_asym_plv,312,intra,rest1_vs_type1,LDA,0.86,0.09902300518341962,5
reference,e2_full_baseline_plv,baseline_plv,294,intra,rest1_vs_type1,LDA,0.8233333333333333,0.109671225842414,5
reference,poster_baseline,baseline,168,intra,rest1_vs_type1,LDA,0.8033333333333333,0.12326574724733731,5
experiment,e2a_plv_only,plv,126,intra,rest1_vs_type1,RBF-SVM,0.8099999999999999,0.10314498964510531,5
experiment,e2b_bp_plv,bp_plv,168,intra,rest1_vs_type1,RBF-SVM,0.8233333333333335,0.08628119403696524,5
experiment,e2c_coh_plv,coh_plv,252,intra,rest1_vs_type1,RBF-SVM,0.8133333333333332,0.12438738771363524,5
experiment,e2d_asym_plv,asym_plv,144,intra,rest1_vs_type1,RBF-SVM,0.8366666666666667,0.09082951062292473,5
experiment,e3_all_extensions,baseline_asym_plv,312,intra,rest1_vs_type1,RBF-SVM,0.8800000000000001,0.0776387646590141,5
reference,e2_full_baseline_plv,baseline_plv,294,intra,rest1_vs_type1,RBF-SVM,0.8366666666666667,0.10233387622005836,5
reference,poster_baseline,baseline,168,intra,rest1_vs_type1,RBF-SVM,0.8166666666666667,0.1359125535858341,5
experiment,e2a_plv_only,plv,126,intra,rest2_vs_type2,KFDA,0.6933333333333334,0.1521147227880618,5
experiment,e2b_bp_plv,bp_plv,168,intra,rest2_vs_type2,KFDA,0.7033333333333334,0.1591644851508443,5
experiment,e2c_coh_plv,coh_plv,252,intra,rest2_vs_type2,KFDA,0.71,0.09021579068482906,5
experiment,e2d_asym_plv,asym_plv,144,intra,rest2_vs_type2,KFDA,0.7166666666666666,0.16201851746019644,5
experiment,e3_all_extensions,baseline_asym_plv,312,intra,rest2_vs_type2,KFDA,0.7133333333333334,0.1309155792443698,5
reference,e2_full_baseline_plv,baseline_plv,294,intra,rest2_vs_type2,KFDA,0.6833333333333333,0.14337208778404376,5
reference,poster_baseline,baseline,168,intra,rest2_vs_type2,KFDA,0.7166666666666667,0.135400640077266,5
experiment,e2a_plv_only,plv,126,intra,rest2_vs_type2,LDA,0.7,0.14907119849998596,5
experiment,e2b_bp_plv,bp_plv,168,intra,rest2_vs_type2,LDA,0.6933333333333334,0.17661949055651932,5
experiment,e2c_coh_plv,coh_plv,252,intra,rest2_vs_type2,LDA,0.7066666666666667,0.10580380165402584,5
experiment,e2d_asym_plv,asym_plv,144,intra,rest2_vs_type2,LDA,0.7299999999999999,0.13560563737871995,5
experiment,e3_all_extensions,baseline_asym_plv,312,intra,rest2_vs_type2,LDA,0.7033333333333334,0.1749603129601428,5
reference,e2_full_baseline_plv,baseline_plv,294,intra,rest2_vs_type2,LDA,0.6866666666666668,0.17849680980653718,5
reference,poster_baseline,baseline,168,intra,rest2_vs_type2,LDA,0.71,0.12224747213928171,5
experiment,e2a_plv_only,plv,126,intra,rest2_vs_type2,RBF-SVM,0.7033333333333334,0.16090024514862894,5
experiment,e2b_bp_plv,bp_plv,168,intra,rest2_vs_type2,RBF-SVM,0.7,0.1732050807568877,5
experiment,e2c_coh_plv,coh_plv,252,intra,rest2_vs_type2,RBF-SVM,0.7066666666666667,0.0917423929634859,5
experiment,e2d_asym_plv,asym_plv,144,intra,rest2_vs_type2,RBF-SVM,0.72,0.15872757934412163,5
experiment,e3_all_extensions,baseline_asym_plv,312,intra,rest2_vs_type2,RBF-SVM,0.7033333333333334,0.15156590059186206,5
reference,e2_full_baseline_plv,baseline_plv,294,intra,rest2_vs_type2,RBF-SVM,0.6933333333333334,0.15211472278806182,5
reference,poster_baseline,baseline,168,intra,rest2_vs_type2,RBF-SVM,0.7133333333333334,0.1371333495381614,5
