comparison,classifier,participant_accuracy_mean,participant_accuracy_std,n_subjects
rest1_vs_type1,KFDA,0.8366666666666667,0.0794075283304773,5
rest1_vs_type1,LDA,0.8433333333333334,0.09021579068482906,5
rest1_vs_type1,RBF-SVM,0.8233333333333335,0.08628119403696524,5
rest2_vs_type2,KFDA,0.7033333333333334,0.1591644851508443,5
rest2_vs_type2,LDA,0.6933333333333334,0.17661949055651932,5
rest2_vs_type2,RBF-SVM,0.7,0.1732050807568877,5
