analysis,subject_id,comparison,outer_fold,step,candidate_index,candidate_name,cv_accuracy,improvement,accepted
intra,lin,rest1_vs_type1,4,4,1,BP__FP1__theta,0.9155555555555555,0.0,False
intra,lin,rest1_vs_type1,5,1,155,PLV__FP2__Fz__gamma,0.8511111111111112,,True
intra,lin,rest1_vs_type1,5,2,110,PLV__FP1__F8__beta_low,0.9133333333333333,0.06222222222222218,True
intra,lin,rest1_vs_type1,5,3,35,BP__F4__gamma,0.9355555555555555,0.022222222222222143,True
intra,lin,rest1_vs_type1,5,4,0,BP__FP1__delta,0.9355555555555555,0.0,False
intra,pftest,rest1_vs_type1,1,1,149,PLV__FP1__F3__gamma,1.0,,True
intra,pftest,rest1_vs_type1,1,2,0,BP__FP1__delta,1.0,0.0,False
intra,pftest,rest1_vs_type1,2,1,163,PLV__F3__F4__gamma,0.9777777777777779,,True
intra,pftest,rest1_vs_type1,2,2,0,BP__FP1__delta,0.9777777777777779,0.0,False
intra,pftest,rest1_vs_type1,3,1,141,PLV__F3__Fz__beta_high,0.9777777777777779,,True
intra,pftest,rest1_vs_type1,3,2,0,BP__FP1__delta,0.9777777777777779,0.0,False
intra,pftest,rest1_vs_type1,4,1,163,PLV__F3__F4__gamma,0.9777777777777779,,True
intra,pftest,rest1_vs_type1,4,2,0,BP__FP1__delta,0.9777777777777779,0.0,False
intra,pftest,rest1_vs_type1,5,1,163,PLV__F3__F4__gamma,0.9777777777777779,,True
intra,pftest,rest1_vs_type1,5,2,0,BP__FP1__delta,0.9777777777777779,0.0,False
intra,yen,rest1_vs_type1,1,1,126,PLV__FP1__FP2__beta_high,0.8311111111111111,,True
intra,yen,rest1_vs_type1,1,2,22,BP__F3__beta_high,0.8533333333333333,0.022222222222222143,True
intra,yen,rest1_vs_type1,1,3,28,BP__Fz__beta_high,0.8777777777777779,0.024444444444444602,True
intra,yen,rest1_vs_type1,1,4,1,BP__FP1__theta,0.8777777777777779,0.0,False
intra,yen,rest1_vs_type1,2,1,126,PLV__FP1__FP2__beta_high,0.8133333333333332,,True
intra,yen,rest1_vs_type1,2,2,26,BP__Fz__alpha,0.8333333333333333,0.020000000000000018,True
intra,yen,rest1_vs_type1,2,3,53,PLV__F7__F3__delta,0.8400000000000001,0.006666666666666821,True
intra,yen,rest1_vs_type1,2,4,113,PLV__FP2__Fz__beta_low,0.8777777777777779,0.0377777777777778,True
intra,yen,rest1_vs_type1,2,5,83,PLV__F4__F8__theta,0.9400000000000001,0.06222222222222218,True
intra,yen,rest1_vs_type1,2,6,1,BP__FP1__theta,0.9400000000000001,0.0,False
intra,yen,rest1_vs_type1,3,1,37,BP__F8__theta,0.8177777777777777,,True
intra,yen,rest1_vs_type1,3,2,55,PLV__F7__F4__delta,0.8777777777777779,0.060000000000000164,True
intra,yen,rest1_vs_type1,3,3,75,PLV__F7__Fz__theta,0.9177777777777777,0.039999999999999813,True
intra,yen,rest1_vs_type1,3,4,38,BP__F8__alpha,0.9177777777777777,0.0,False
intra,yen,rest1_vs_type1,4,1,37,BP__F8__theta,0.8133333333333332,,True
intra,yen,rest1_vs_type1,4,2,89,PLV__FP1__F8__alpha,0.8977777777777778,0.08444444444444454,True
intra,yen,rest1_vs_type1,4,3,111,PLV__FP2__F7__beta_low,0.9377777777777776,0.039999999999999813,True
intra,yen,rest1_vs_type1,4,4,33,BP__F4__beta_low,0.9800000000000001,0.042222222222222494,True
intra,yen,rest1_vs_type1,4,5,0,BP__FP1__delta,0.9800000000000001,0.0,False
intra,yen,rest1_vs_type1,5,1,105,PLV__FP1__FP2__beta_low,0.7977777777777778,,True
intra,yen,rest1_vs_type1,5,2,106,PLV__FP1__F7__beta_low,0.8377777777777776,0.039999999999999813,True
intra,yen,rest1_vs_type1,5,3,99,PLV__F3__Fz__alpha,0.8577777777777778,0.02000000000000013,True
intra,yen,rest1_vs_type1,5,4,101,PLV__F3__F8__alpha,0.8777777777777779,0.02000000000000013,True
