subject_id,comparison,outer_fold,classifier,accuracy,n_selected_features,selected_features,sfs_inner_accuracy,grid_inner_accuracy,best_params
jh,rest1_vs_type1,1,RBF-SVM,0.6666666666666666,4,COH__F7__Fz__alpha;COH__F7__F4__gamma;COH__FP2__F3__beta_low;COH__FP1__F7__beta_low,0.8977777777777778,0.8777777777777779,"{""clf__C"": 10.0, ""clf__gamma"": 0.02017697586015141}"
jh,rest1_vs_type1,1,KFDA,0.6666666666666666,4,COH__F7__Fz__alpha;COH__F7__F4__gamma;COH__FP2__F3__beta_low;COH__FP1__F7__beta_low,0.8977777777777778,0.8777777777777779,"{""clf__C"": 1000.0, ""clf__gamma"": 0.02017697586015141}"
jh,rest1_vs_type1,2,LDA,0.3333333333333333,3,COH__FP1__F7__beta_low;COH__F3__Fz__theta;COH__FP1__F3__alpha,0.8377777777777776,,{}
jh,rest1_vs_type1,2,RBF-SVM,0.4166666666666667,3,COH__FP1__F7__beta_low;COH__F3__Fz__theta;COH__FP1__F3__alpha,0.8377777777777776,0.8155555555555555,"{""clf__C"": 1.0, ""clf__gamma"": 0.23137744865585788}"
jh,rest1_vs_type1,2,KFDA,0.5,3,COH__FP1__F7__beta_low;COH__F3__Fz__theta;COH__FP1__F3__alpha,0.8377777777777776,0.7933333333333332,"{""clf__C"": 0.1, ""clf__gamma"": 0.14204568230027764}"
jh,rest1_vs_type1,3,LDA,0.8333333333333334,4,COH__F7__Fz__alpha;COH__FP2__F8__beta_high;COH__F3__F4__alpha;COH__FP1__FP2__gamma,0.8955555555555555,,{}
jh,rest1_vs_type1,3,RBF-SVM,0.8333333333333334,4,COH__F7__Fz__alpha;COH__FP2__F8__beta_high;COH__F3__F4__alpha;COH__FP1__FP2__gamma,0.8955555555555555,0.8755555555555556,"{""clf__C"": 50.0, ""clf__gamma"": 0.007604489997873477}"
jh,rest1_vs_type1,3,KFDA,0.8333333333333334,4,COH__F7__Fz__alpha;COH__FP2__F8__beta_high;COH__F3__F4__alpha;COH__FP1__FP2__gamma,0.8955555555555555,0.8955555555555555,"{""clf__C"": 1000.0, ""clf__gamma"": 0.03286616756321879}"
jh,rest1_vs_type1,4,LDA,0.3333333333333333,3,COH__F7__F8__gamma;COH__FP2__F8__theta;COH__FP2__F3__beta_high,0.8777777777777779,,{}
jh,rest1_vs_type1,4,RBF-SVM,0.4166666666666667,3,COH__F7__F8__gamma;COH__FP2__F8__theta;COH__FP2__F3__beta_high,0.8777777777777779,0.8733333333333334,"{""clf__C"": 1000.0, ""clf__gamma"": 0.23137744865585788}"
