comparison,classifier,participant_accuracy_mean,participant_accuracy_std,n_subjects
rest1_vs_type1,KFDA,0.77,0.15872757934412166,5
rest1_vs_type1,LDA,0.7699999999999999,0.1604680653588121,5
rest1_vs_type1,RBF-SVM,0.7733333333333333,0.1609865418805767,5
rest2_vs_type2,KFDA,0.7166666666666666,0.11960583412006105,5
rest2_vs_type2,LDA,0.6966666666666667,0.12438738771363525,5
rest2_vs_type2,RBF-SVM,0.7100000000000001,0.1382429423555181,5
