comparison,classifier,participant_accuracy_mean,participant_accuracy_std,n_subjects
rest1_vs_type1,KFDA,0.8233333333333335,0.11340683890802668,5
rest1_vs_type1,LDA,0.8033333333333333,0.12326574724733731,5
rest1_vs_type1,RBF-SVM,0.8166666666666667,0.1359125535858341,5
rest2_vs_type2,KFDA,0.7166666666666667,0.135400640077266,5
rest2_vs_type2,LDA,0.71,0.12224747213928171,5
rest2_vs_type2,RBF-SVM,0.7133333333333334,0.1371333495381614,5
