comparison,classifier,lopo_accuracy_mean,lopo_accuracy_std,n_held_out_subjects,pooled_epoch_accuracy
rest1_vs_type1,KFDA,0.5266666666666666,0.050826502273256365,5,0.5266666666666666
rest1_vs_type1,LDA,0.51,0.022360679774997918,5,0.51
rest1_vs_type1,RBF-SVM,0.5166666666666667,0.0235702260395516,5,0.5166666666666667
rest2_vs_type2,KFDA,0.49000000000000005,0.036514837167011066,5,0.49
rest2_vs_type2,LDA,0.47000000000000003,0.05055250296034366,5,0.47
rest2_vs_type2,RBF-SVM,0.47000000000000003,0.03613247231446466,5,0.47
