analysis,held_out_subject,comparison,outer_fold,step,candidate_index,candidate_name,cv_accuracy,improvement,accepted
inter,lin,rest2_vs_type2,3,3,128,PLV__FP1__F3__beta_high,0.6375,0.008333333333333304,True
inter,lin,rest2_vs_type2,3,4,46,PLV__FP1__F4__delta,0.6416666666666667,0.004166666666666763,True
inter,lin,rest2_vs_type2,3,5,164,PLV__F3__F8__gamma,0.6416666666666666,-1.1102230246251565e-16,False
inter,pftest,rest2_vs_type2,4,1,95,PLV__F7__F3__alpha,0.5958333333333334,,True
inter,pftest,rest2_vs_type2,4,2,128,PLV__FP1__F3__beta_high,0.6458333333333334,0.04999999999999993,True
inter,pftest,rest2_vs_type2,4,3,88,PLV__FP1__F4__alpha,0.6583333333333333,0.012499999999999956,True
inter,pftest,rest2_vs_type2,4,4,20,BP__F3__alpha,0.6583333333333334,1.1102230246251565e-16,False
inter,yen,rest2_vs_type2,5,1,95,PLV__F7__F3__alpha,0.6708333333333333,,True
inter,yen,rest2_vs_type2,5,2,101,PLV__F3__F8__alpha,0.6833333333333333,0.012500000000000067,True
inter,yen,rest2_vs_type2,5,3,102,PLV__Fz__F4__alpha,0.6875,0.004166666666666652,True
inter,yen,rest2_vs_type2,5,4,57,PLV__F3__Fz__delta,0.7,0.012499999999999956,True
inter,yen,rest2_vs_type2,5,5,100,PLV__F3__F4__alpha,0.6958333333333333,-0.004166666666666652,False
