comparison,classifier,participant_accuracy_mean,participant_accuracy_std,n_subjects
rest1_vs_type1,KFDA,0.8166666666666667,0.09128709291752769,5
rest1_vs_type1,LDA,0.8099999999999999,0.09617692030835671,5
rest1_vs_type1,RBF-SVM,0.8099999999999999,0.10314498964510531,5
rest2_vs_type2,KFDA,0.6933333333333334,0.1521147227880618,5
rest2_vs_type2,LDA,0.7,0.14907119849998596,5
rest2_vs_type2,RBF-SVM,0.7033333333333334,0.16090024514862894,5
