analysis,held_out_subject,comparison,outer_fold,step,candidate_index,candidate_name,cv_accuracy,improvement,accepted
inter,lin,rest2_vs_type2,3,1,57,COH__FP2__F4__beta_low,0.6041666666666667,,True
inter,lin,rest2_vs_type2,3,2,196,PLV__FP2__F3__beta_low,0.625,0.02083333333333326,True
inter,lin,rest2_vs_type2,3,3,12,COH__FP1__F3__delta,0.6291666666666667,0.004166666666666652,True
inter,lin,rest2_vs_type2,3,4,71,COH__F7__F3__gamma,0.6333333333333333,0.004166666666666652,True
inter,lin,rest2_vs_type2,3,5,49,COH__FP2__Fz__theta,0.6291666666666667,-0.004166666666666652,False
inter,pftest,rest2_vs_type2,4,1,68,COH__F7__F3__alpha,0.6083333333333334,,True
inter,pftest,rest2_vs_type2,4,2,197,PLV__FP2__Fz__beta_low,0.6499999999999999,0.04166666666666652,True
inter,pftest,rest2_vs_type2,4,3,62,COH__FP2__F8__alpha,0.6708333333333334,0.02083333333333348,True
inter,pftest,rest2_vs_type2,4,4,9,COH__FP1__F7__beta_low,0.6666666666666666,-0.004166666666666763,False
inter,yen,rest2_vs_type2,5,1,68,COH__F7__F3__alpha,0.6791666666666667,,True
inter,yen,rest2_vs_type2,5,2,80,COH__F7__F4__alpha,0.6875,0.008333333333333304,True
inter,yen,rest2_vs_type2,5,3,102,COH__F3__F8__delta,0.6916666666666667,0.004166666666666652,True
inter,yen,rest2_vs_type2,5,4,6,COH__FP1__F7__delta,0.7041666666666666,0.012499999999999956,True
inter,yen,rest2_vs_type2,5,5,88,COH__F7__F8__beta_high,0.7083333333333334,0.004166666666666763,True
inter,yen,rest2_vs_type2,5,6,141,PLV__F3__Fz__delta,0.7083333333333334,0.0,False
