comparison,classifier,lopo_accuracy_mean,lopo_accuracy_std,n_held_out_subjects,pooled_epoch_accuracy
rest1_vs_type1,KFDA,0.6633333333333333,0.04149966532662912,5,0.6633333333333333
rest1_vs_type1,LDA,0.6833333333333333,0.05651941652604391,5,0.6833333333333333
rest1_vs_type1,RBF-SVM,0.6466666666666666,0.036132472314464634,5,0.6466666666666666
rest2_vs_type2,KFDA,0.44666666666666666,0.1578501399006877,5,0.44666666666666666
rest2_vs_type2,LDA,0.53,0.02173067468400884,5,0.53
rest2_vs_type2,RBF-SVM,0.48,0.16724898272402802,5,0.48
