held_out_subject,comparison,outer_fold,classifier,accuracy,n_selected_features,selected_features,sfs_inner_accuracy,grid_inner_accuracy,best_params
irene,rest2_vs_type2,1,RBF-SVM,0.5166666666666667,7,PLV__F7__F3__alpha;COH__FP2__F7__theta;COH__F7__F3__delta;PLV__FP1__F4__theta;COH__F3__Fz__delta;PLV__F7__F8__delta;PLV__F7__F3__theta,0.7541666666666667,0.7333333333333333,"{""clf__C"": 1.0, ""clf__gamma"": 0.08720372697238048}"
irene,rest2_vs_type2,1,KFDA,0.5,7,PLV__F7__F3__alpha;COH__FP2__F7__theta;COH__F7__F3__delta;PLV__FP1__F4__theta;COH__F3__Fz__delta;PLV__F7__F8__delta;PLV__F7__F3__theta,0.7541666666666667,0.725,"{""clf__C"": 100.0, ""clf__gamma"": 0.007604489997873477}"
jh,rest2_vs_type2,2,LDA,0.5,2,COH__F7__F3__alpha;PLV__F3__Fz__beta_high,0.6875,,{}
jh,rest2_vs_type2,2,RBF-SVM,0.5,2,COH__F7__F3__alpha;PLV__F3__Fz__beta_high,0.6875,0.6708333333333333,"{""clf__C"": 10.0, ""clf__gamma"": 0.012386912896918909}"
jh,rest2_vs_type2,2,KFDA,0.5,2,COH__F7__F3__alpha;PLV__F3__Fz__beta_high,0.6875,0.6916666666666667,"{""clf__C"": 1000.0, ""clf__gamma"": 0.012386912896918909}"
lin,rest2_vs_type2,3,LDA,0.5166666666666667,4,COH__FP2__F4__beta_low;PLV__FP2__F3__beta_low;COH__FP1__F3__delta;COH__F7__F3__gamma,0.6333333333333333,,{}
lin,rest2_vs_type2,3,RBF-SVM,0.2,4,COH__FP2__F4__beta_low;PLV__FP2__F3__beta_low;COH__FP1__F3__delta;COH__F7__F3__gamma,0.6333333333333333,0.5958333333333333,"{""clf__C"": 0.1, ""clf__gamma"": 0.08720372697238048}"
lin,rest2_vs_type2,3,KFDA,0.16666666666666666,4,COH__FP2__F4__beta_low;PLV__FP2__F3__beta_low;COH__FP1__F3__delta;COH__F7__F3__gamma,0.6333333333333333,0.6,"{""clf__C"": 0.1, ""clf__gamma"": 0.14204568230027764}"
pftest,rest2_vs_type2,4,LDA,0.55,3,COH__F7__F3__alpha;PLV__FP2__Fz__beta_low;COH__FP2__F8__alpha,0.6708333333333334,,{}
pftest,rest2_vs_type2,4,RBF-SVM,0.65,3,COH__F7__F3__alpha;PLV__FP2__Fz__beta_low;COH__FP2__F8__alpha,0.6708333333333334,0.6541666666666666,"{""clf__C"": 1.0, ""clf__gamma"": 0.012386912896918909}"
pftest,rest2_vs_type2,4,KFDA,0.55,3,COH__F7__F3__alpha;PLV__FP2__Fz__beta_low;COH__FP2__F8__alpha,0.6708333333333334,0.625,"{""clf__C"": 50.0, ""clf__gamma"": 0.02017697586015141}"
yen,rest2_vs_type2,5,LDA,0.5333333333333333,5,COH__F7__F3__alpha;COH__F7__F4__alpha;COH__F3__F8__delta;COH__FP1__F7__delta;COH__F7__F8__beta_high,0.7083333333333334,,{}
yen,rest2_vs_type2,5,RBF-SVM,0.5333333333333333,5,COH__F7__F3__alpha;COH__F7__F4__alpha;COH__F3__F8__delta;COH__FP1__F7__delta;COH__F7__F8__beta_high,0.7083333333333334,0.6833333333333333,"{""clf__C"": 1.0, ""clf__gamma"": 0.012386912896918909}"
yen,rest2_vs_type2,5,KFDA,0.5166666666666667,5,COH__F7__F3__alpha;COH__F7__F4__alpha;COH__F3__F8__delta;COH__FP1__F7__delta;COH__F7__F8__beta_high,0.7083333333333334,0.6958333333333333,"{""clf__C"": 10.0, ""clf__gamma"": 0.14204568230027764}"
