subject_id,comparison,outer_fold,classifier,accuracy,n_selected_features,selected_features,sfs_inner_accuracy,grid_inner_accuracy,best_params
jh,rest1_vs_type1,4,KFDA,0.75,2,BP__F7__alpha;BP__F7__gamma,0.8155555555555555,0.8355555555555554,"{""clf__C"": 0.1, ""clf__gamma"": 0.23137744865585788}"
jh,rest1_vs_type1,5,LDA,0.75,1,BP__F7__alpha,0.7911111111111111,,{}
jh,rest1_vs_type1,5,RBF-SVM,0.75,1,BP__F7__alpha,0.7911111111111111,0.7911111111111111,"{""clf__C"": 0.1, ""clf__gamma"": 0.6139132535407591}"
jh,rest1_vs_type1,5,KFDA,0.75,1,BP__F7__alpha,0.7911111111111111,0.7911111111111111,"{""clf__C"": 0.1, ""clf__gamma"": 0.007604489997873477}"
lin,rest1_vs_type1,1,LDA,0.5833333333333334,3,BP__F3__alpha;BP__F4__theta;BP__F7__alpha,0.9133333333333333,,{}
lin,rest1_vs_type1,1,RBF-SVM,0.5833333333333334,3,BP__F3__alpha;BP__F4__theta;BP__F7__alpha,0.9133333333333333,0.8933333333333333,"{""clf__C"": 10.0, ""clf__gamma"": 0.012386912896918909}"
lin,rest1_vs_type1,1,KFDA,0.5833333333333334,3,BP__F3__alpha;BP__F4__theta;BP__F7__alpha,0.9133333333333333,0.8933333333333333,"{""clf__C"": 10.0, ""clf__gamma"": 0.03286616756321879}"
lin,rest1_vs_type1,2,LDA,0.8333333333333334,5,BP__F3__alpha;BP__Fz__theta;BP__FP1__theta;BP__F7__alpha;BP__F4__beta_low,0.9177777777777777,,{}
lin,rest1_vs_type1,2,RBF-SVM,0.8333333333333334,5,BP__F3__alpha;BP__Fz__theta;BP__FP1__theta;BP__F7__alpha;BP__F4__beta_low,0.9177777777777777,0.9377777777777776,"{""clf__C"": 100.0, ""clf__gamma"": 0.03286616756321879}"
lin,rest1_vs_type1,2,KFDA,0.75,5,BP__F3__alpha;BP__Fz__theta;BP__FP1__theta;BP__F7__alpha;BP__F4__beta_low,0.9177777777777777,0.8355555555555556,"{""clf__C"": 1000.0, ""clf__gamma"": 0.02017697586015141}"
lin,rest1_vs_type1,3,LDA,0.6666666666666666,2,BP__F4__alpha;BP__F4__gamma,0.8133333333333332,,{}
lin,rest1_vs_type1,3,RBF-SVM,0.5833333333333334,2,BP__F4__alpha;BP__F4__gamma,0.8133333333333332,0.8133333333333332,"{""clf__C"": 0.1, ""clf__gamma"": 0.3768894828730004}"
lin,rest1_vs_type1,3,KFDA,0.6666666666666666,2,BP__F4__alpha;BP__F4__gamma,0.8133333333333332,0.8111111111111111,"{""clf__C"": 0.1, ""clf__gamma"": 0.6139132535407591}"
lin,rest1_vs_type1,4,LDA,0.75,6,BP__F3__alpha;BP__Fz__alpha;BP__F7__beta_high;BP__Fz__gamma;BP__Fz__theta;BP__F8__gamma,0.9800000000000001,,{}
lin,rest1_vs_type1,4,RBF-SVM,0.75,6,BP__F3__alpha;BP__Fz__alpha;BP__F7__beta_high;BP__Fz__gamma;BP__Fz__theta;BP__F8__gamma,0.9800000000000001,0.9800000000000001,"{""clf__C"": 50.0, ""clf__gamma"": 0.012386912896918909}"
lin,rest1_vs_type1,4,KFDA,0.75,6,BP__F3__alpha;BP__Fz__alpha;BP__F7__beta_high;BP__Fz__gamma;BP__Fz__theta;BP__F8__gamma,0.9800000000000001,0.9155555555555555,"{""clf__C"": 1000.0, ""clf__gamma"": 0.14204568230027764}"
lin,rest1_vs_type1,5,LDA,0.9166666666666666,5,BP__F7__alpha;BP__F7__beta_high;BP__Fz__gamma;BP__Fz__theta;BP__F3__theta,0.9155555555555555,,{}
lin,rest1_vs_type1,5,RBF-SVM,1.0,5,BP__F7__alpha;BP__F7__beta_high;BP__Fz__gamma;BP__Fz__theta;BP__F3__theta,0.9155555555555555,0.9155555555555555,"{""clf__C"": 100.0, ""clf__gamma"": 0.007604489997873477}"
lin,rest1_vs_type1,5,KFDA,0.8333333333333334,5,BP__F7__alpha;BP__F7__beta_high;BP__Fz__gamma;BP__Fz__theta;BP__F3__theta,0.9155555555555555,0.8777777777777779,"{""clf__C"": 100.0, ""clf__gamma"": 0.14204568230027764}"
pftest,rest1_vs_type1,1,LDA,0.75,4,BP__F3__beta_high;BP__F7__beta_high;BP__F8__beta_low;BP__F3__alpha,0.9800000000000001,,{}
pftest,rest1_vs_type1,1,RBF-SVM,0.8333333333333334,4,BP__F3__beta_high;BP__F7__beta_high;BP__F8__beta_low;BP__F3__alpha,0.9800000000000001,0.9800000000000001,"{""clf__C"": 1.0, ""clf__gamma"": 0.02017697586015141}"
pftest,rest1_vs_type1,1,KFDA,0.8333333333333334,4,BP__F3__beta_high;BP__F7__beta_high;BP__F8__beta_low;BP__F3__alpha,0.9800000000000001,0.9800000000000001,"{""clf__C"": 0.1, ""clf__gamma"": 0.08720372697238048}"
pftest,rest1_vs_type1,2,LDA,0.9166666666666666,4,BP__F3__beta_high;BP__FP1__beta_high;BP__F3__gamma;BP__FP2__gamma,0.9800000000000001,,{}
pftest,rest1_vs_type1,2,RBF-SVM,1.0,4,BP__F3__beta_high;BP__FP1__beta_high;BP__F3__gamma;BP__FP2__gamma,0.9800000000000001,0.9800000000000001,"{""clf__C"": 50.0, ""clf__gamma"": 0.007604489997873477}"
pftest,rest1_vs_type1,2,KFDA,1.0,4,BP__F3__beta_high;BP__FP1__beta_high;BP__F3__gamma;BP__FP2__gamma,0.9800000000000001,0.9577777777777777,"{""clf__C"": 1000.0, ""clf__gamma"": 0.08720372697238048}"
pftest,rest1_vs_type1,3,LDA,0.9166666666666666,3,BP__F3__beta_high;BP__FP1__gamma;BP__F3__gamma,0.9800000000000001,,{}
pftest,rest1_vs_type1,3,RBF-SVM,0.9166666666666666,3,BP__F3__beta_high;BP__FP1__gamma;BP__F3__gamma,0.9800000000000001,1.0,"{""clf__C"": 10.0, ""clf__gamma"": 0.03286616756321879}"
pftest,rest1_vs_type1,3,KFDA,0.9166666666666666,3,BP__F3__beta_high;BP__FP1__gamma;BP__F3__gamma,0.9800000000000001,1.0,"{""clf__C"": 10.0, ""clf__gamma"": 0.053535523746494146}"
pftest,rest1_vs_type1,4,LDA,0.75,2,BP__F3__beta_high;BP__FP1__alpha,0.96,,{}
pftest,rest1_vs_type1,4,RBF-SVM,0.75,2,BP__F3__beta_high;BP__FP1__alpha,0.96,0.96,"{""clf__C"": 0.1, ""clf__gamma"": 0.6139132535407591}"
