analysis,subject_id,comparison,outer_fold,step,candidate_index,candidate_name,cv_accuracy,improvement,accepted
intra,jh,rest2_vs_type2,3,3,233,PLV__FP1__F3__beta_low,0.8555555555555555,0.04222222222222227,True
intra,jh,rest2_vs_type2,3,4,0,BP__FP1__delta,0.8755555555555554,0.019999999999999907,True
intra,jh,rest2_vs_type2,3,5,12,BP__F7__delta,0.8755555555555554,0.0,False
intra,jh,rest2_vs_type2,4,1,66,COH__FP1__F4__delta,0.8088888888888889,,True
intra,jh,rest2_vs_type2,4,2,1,BP__FP1__theta,0.8111111111111111,0.0022222222222222365,True
intra,jh,rest2_vs_type2,4,3,102,COH__FP2__F8__delta,0.8533333333333333,0.04222222222222216,True
intra,jh,rest2_vs_type2,4,4,236,PLV__FP1__F8__beta_low,0.8733333333333334,0.02000000000000013,True
intra,jh,rest2_vs_type2,4,5,19,BP__F3__theta,0.8733333333333334,0.0,False
intra,jh,rest2_vs_type2,5,1,66,COH__FP1__F4__delta,0.7333333333333333,,True
intra,jh,rest2_vs_type2,5,2,6,BP__FP2__delta,0.7333333333333333,0.0,False
intra,lin,rest2_vs_type2,1,1,112,COH__F7__F3__beta_high,0.8955555555555555,,True
intra,lin,rest2_vs_type2,1,2,256,PLV__FP1__F4__beta_high,1.0,0.10444444444444445,True
intra,lin,rest2_vs_type2,1,3,0,BP__FP1__delta,1.0,0.0,False
intra,lin,rest2_vs_type2,2,1,59,COH__FP1__F3__gamma,0.8755555555555554,,True
intra,lin,rest2_vs_type2,2,2,164,COH__F4__F8__alpha,0.9800000000000001,0.10444444444444467,True
intra,lin,rest2_vs_type2,2,3,0,BP__FP1__delta,0.9800000000000001,0.0,False
intra,lin,rest2_vs_type2,3,1,268,PLV__F3__F4__beta_high,0.8977777777777778,,True
intra,lin,rest2_vs_type2,3,2,95,COH__FP2__Fz__gamma,0.96,0.06222222222222218,True
intra,lin,rest2_vs_type2,3,3,2,BP__FP1__alpha,0.9800000000000001,0.02000000000000013,True
intra,lin,rest2_vs_type2,3,4,3,BP__FP1__beta_low,0.9800000000000001,0.0,False
intra,lin,rest2_vs_type2,4,1,59,COH__FP1__F3__gamma,0.8955555555555555,,True
intra,lin,rest2_vs_type2,4,2,99,COH__FP2__F4__beta_low,0.96,0.06444444444444442,True
intra,lin,rest2_vs_type2,4,3,93,COH__FP2__Fz__beta_low,0.9800000000000001,0.02000000000000013,True
intra,lin,rest2_vs_type2,4,4,3,BP__FP1__beta_low,0.9800000000000001,0.0,False
intra,lin,rest2_vs_type2,5,1,95,COH__FP2__Fz__gamma,0.8955555555555555,,True
intra,lin,rest2_vs_type2,5,2,69,COH__FP1__F4__beta_low,0.96,0.06444444444444442,True
intra,lin,rest2_vs_type2,5,3,16,BP__F7__beta_high,0.9800000000000001,0.02000000000000013,True
intra,lin,rest2_vs_type2,5,4,3,BP__FP1__beta_low,0.9800000000000001,0.0,False
intra,pftest,rest2_vs_type2,1,1,282,PLV__FP2__F4__gamma,0.8333333333333333,,True
intra,pftest,rest2_vs_type2,1,2,21,BP__F3__beta_low,0.8555555555555555,0.022222222222222254,True
intra,pftest,rest2_vs_type2,1,3,129,COH__F7__F8__beta_low,0.8977777777777778,0.04222222222222227,True
intra,pftest,rest2_vs_type2,1,4,15,BP__F7__beta_low,0.9177777777777777,0.019999999999999907,True
intra,pftest,rest2_vs_type2,1,5,19,BP__F3__theta,0.9177777777777777,0.0,False
intra,pftest,rest2_vs_type2,2,1,100,COH__FP2__F4__beta_high,0.8355555555555556,,True
intra,pftest,rest2_vs_type2,2,2,113,COH__F7__F3__gamma,0.9177777777777777,0.08222222222222209,True
intra,pftest,rest2_vs_type2,2,3,210,PLV__FP1__FP2__alpha,0.96,0.04222222222222227,True
intra,pftest,rest2_vs_type2,2,4,10,BP__FP2__beta_high,0.96,0.0,False
intra,pftest,rest2_vs_type2,3,1,101,COH__FP2__F4__gamma,0.8333333333333334,,True
intra,pftest,rest2_vs_type2,3,2,47,COH__FP1__FP2__gamma,0.8977777777777778,0.06444444444444442,True
intra,pftest,rest2_vs_type2,3,3,124,COH__F7__F4__beta_high,0.9199999999999999,0.022222222222222143,True
intra,pftest,rest2_vs_type2,3,4,31,BP__F4__theta,0.9400000000000001,0.02000000000000013,True
intra,pftest,rest2_vs_type2,3,5,10,BP__FP2__beta_high,0.9400000000000001,0.0,False
