comparison,classifier,participant_accuracy_mean,participant_accuracy_std,n_subjects
rest1_vs_type1,KFDA,0.8466666666666667,0.0923459678479671,5
rest1_vs_type1,LDA,0.8233333333333333,0.109671225842414,5
rest1_vs_type1,RBF-SVM,0.8366666666666667,0.10233387622005836,5
rest2_vs_type2,KFDA,0.6833333333333333,0.14337208778404376,5
rest2_vs_type2,LDA,0.6866666666666668,0.17849680980653718,5
rest2_vs_type2,RBF-SVM,0.6933333333333334,0.1521147227880618,5
