analysis,subject_id,comparison,outer_fold,step,candidate_index,candidate_name,cv_accuracy,improvement,accepted
intra,jh,rest1_vs_type1,4,5,9,BP__FP2__beta_low,0.9199999999999999,0.0,False
intra,jh,rest1_vs_type1,5,1,305,PLV__F7__F8__gamma,0.7955555555555556,,True
intra,jh,rest1_vs_type1,5,2,239,PLV__F7__F3__alpha,0.9,0.10444444444444445,True
intra,jh,rest1_vs_type1,5,3,244,PLV__F3__F4__alpha,0.9,0.0,False
intra,lin,rest1_vs_type1,1,1,95,COH__FP2__Fz__gamma,0.9155555555555555,,True
intra,lin,rest1_vs_type1,1,2,113,COH__F7__F3__gamma,0.96,0.04444444444444451,True
intra,lin,rest1_vs_type1,1,3,17,BP__F7__gamma,0.9800000000000001,0.02000000000000013,True
intra,lin,rest1_vs_type1,1,4,2,BP__FP1__alpha,1.0,0.019999999999999907,True
intra,lin,rest1_vs_type1,1,5,1,BP__FP1__theta,1.0,0.0,False
intra,lin,rest1_vs_type1,2,1,95,COH__FP2__Fz__gamma,0.9177777777777777,,True
intra,lin,rest1_vs_type1,2,2,92,COH__FP2__Fz__alpha,0.9377777777777776,0.019999999999999907,True
intra,lin,rest1_vs_type1,2,3,1,BP__FP1__theta,0.9377777777777776,0.0,False
intra,lin,rest1_vs_type1,3,1,95,COH__FP2__Fz__gamma,0.8777777777777779,,True
intra,lin,rest1_vs_type1,3,2,5,BP__FP1__gamma,0.9177777777777777,0.039999999999999813,True
intra,lin,rest1_vs_type1,3,3,2,BP__FP1__alpha,0.9377777777777776,0.019999999999999907,True
intra,lin,rest1_vs_type1,3,4,113,COH__F7__F3__gamma,0.9777777777777779,0.04000000000000026,True
intra,lin,rest1_vs_type1,3,5,43,COH__FP1__FP2__theta,1.0,0.022222222222222143,True
intra,lin,rest1_vs_type1,3,6,1,BP__FP1__theta,1.0,0.0,False
intra,lin,rest1_vs_type1,4,1,95,COH__FP2__Fz__gamma,0.9155555555555555,,True
intra,lin,rest1_vs_type1,4,2,5,BP__FP1__gamma,0.9355555555555555,0.020000000000000018,True
intra,lin,rest1_vs_type1,4,3,75,COH__FP1__F8__beta_low,0.9577777777777777,0.022222222222222254,True
intra,lin,rest1_vs_type1,4,4,3,BP__FP1__beta_low,0.9577777777777777,0.0,False
intra,lin,rest1_vs_type1,5,1,95,COH__FP2__Fz__gamma,0.9155555555555555,,True
intra,lin,rest1_vs_type1,5,2,53,COH__FP1__F7__gamma,0.96,0.04444444444444451,True
intra,lin,rest1_vs_type1,5,3,32,BP__F4__alpha,0.9800000000000001,0.02000000000000013,True
intra,lin,rest1_vs_type1,5,4,3,BP__FP1__beta_low,0.9800000000000001,0.0,False
intra,pftest,rest1_vs_type1,1,1,137,COH__F3__Fz__gamma,1.0,,True
intra,pftest,rest1_vs_type1,1,2,0,BP__FP1__delta,1.0,0.0,False
intra,pftest,rest1_vs_type1,2,1,137,COH__F3__Fz__gamma,0.9777777777777779,,True
intra,pftest,rest1_vs_type1,2,2,0,BP__FP1__delta,0.9777777777777779,0.0,False
intra,pftest,rest1_vs_type1,3,1,136,COH__F3__Fz__beta_high,0.9777777777777779,,True
intra,pftest,rest1_vs_type1,3,2,62,COH__FP1__Fz__alpha,1.0,0.022222222222222143,True
intra,pftest,rest1_vs_type1,3,3,0,BP__FP1__delta,1.0,0.0,False
intra,pftest,rest1_vs_type1,4,1,136,COH__F3__Fz__beta_high,0.9777777777777779,,True
intra,pftest,rest1_vs_type1,4,2,1,BP__FP1__theta,0.9777777777777779,0.0,False
intra,pftest,rest1_vs_type1,5,1,58,COH__FP1__F3__beta_high,0.9777777777777779,,True
intra,pftest,rest1_vs_type1,5,2,2,BP__FP1__alpha,0.9777777777777779,0.0,False
intra,yen,rest1_vs_type1,1,1,88,COH__FP2__F3__beta_high,0.8533333333333333,,True
intra,yen,rest1_vs_type1,1,2,8,BP__FP2__alpha,0.8955555555555555,0.04222222222222227,True
intra,yen,rest1_vs_type1,1,3,34,BP__F4__beta_high,0.8955555555555555,0.0,False
intra,yen,rest1_vs_type1,2,1,270,PLV__FP1__FP2__beta_high,0.8133333333333332,,True
intra,yen,rest1_vs_type1,2,2,97,COH__FP2__F4__theta,0.86,0.046666666666666745,True
intra,yen,rest1_vs_type1,2,3,26,BP__Fz__alpha,0.8800000000000001,0.02000000000000013,True
intra,yen,rest1_vs_type1,2,4,9,BP__FP2__beta_low,0.9,0.019999999999999907,True
intra,yen,rest1_vs_type1,2,5,8,BP__FP2__alpha,0.9,0.0,False
intra,yen,rest1_vs_type1,3,1,37,BP__F8__theta,0.8177777777777777,,True
intra,yen,rest1_vs_type1,3,2,199,PLV__F7__F4__delta,0.8777777777777779,0.060000000000000164,True
intra,yen,rest1_vs_type1,3,3,167,COH__F4__F8__gamma,0.9177777777777777,0.039999999999999813,True
intra,yen,rest1_vs_type1,3,4,170,ASYM_LOGRATIO__FP1__FP2__alpha,0.9377777777777776,0.019999999999999907,True
intra,yen,rest1_vs_type1,3,5,174,ASYM_LOGRATIO__F3__F4__delta,0.9377777777777776,0.0,False
intra,yen,rest1_vs_type1,4,1,88,COH__FP2__F3__beta_high,0.8533333333333333,,True
intra,yen,rest1_vs_type1,4,2,126,COH__F7__F8__delta,0.8777777777777779,0.024444444444444602,True
intra,yen,rest1_vs_type1,4,3,142,COH__F3__F4__beta_high,0.8977777777777778,0.019999999999999907,True
intra,yen,rest1_vs_type1,4,4,1,BP__FP1__theta,0.9177777777777777,0.019999999999999907,True
intra,yen,rest1_vs_type1,4,5,43,COH__FP1__FP2__theta,0.9377777777777776,0.019999999999999907,True
intra,yen,rest1_vs_type1,4,6,20,BP__F3__alpha,0.9577777777777777,0.02000000000000013,True
intra,yen,rest1_vs_type1,4,7,2,BP__FP1__alpha,0.9577777777777777,0.0,False
intra,yen,rest1_vs_type1,5,1,88,COH__FP2__F3__beta_high,0.8111111111111111,,True
intra,yen,rest1_vs_type1,5,2,60,COH__FP1__Fz__delta,0.8311111111111111,0.020000000000000018,True
intra,yen,rest1_vs_type1,5,3,3,BP__FP1__beta_low,0.8311111111111111,0.0,False
intra,irene,rest2_vs_type2,1,1,212,PLV__FP1__F8__theta,0.7711111111111111,,True
intra,irene,rest2_vs_type2,1,2,169,ASYM_LOGRATIO__FP1__FP2__theta,0.8311111111111111,0.06000000000000005,True
intra,irene,rest2_vs_type2,1,3,234,PLV__FP2__F7__alpha,0.8777777777777779,0.046666666666666745,True
intra,irene,rest2_vs_type2,1,4,181,ASYM_LOGRATIO__F7__F8__theta,0.9177777777777777,0.039999999999999813,True
intra,irene,rest2_vs_type2,1,5,29,BP__Fz__gamma,0.9400000000000001,0.022222222222222365,True
intra,irene,rest2_vs_type2,1,6,15,BP__F7__beta_low,0.9800000000000001,0.040000000000000036,True
intra,irene,rest2_vs_type2,1,7,22,BP__F3__beta_high,0.9800000000000001,0.0,False
intra,irene,rest2_vs_type2,2,1,169,ASYM_LOGRATIO__FP1__FP2__theta,0.7933333333333332,,True
intra,irene,rest2_vs_type2,2,2,194,PLV__FP2__Fz__delta,0.8755555555555556,0.08222222222222242,True
