comparison,classifier,participant_accuracy_mean,participant_accuracy_std,n_subjects
rest1_vs_type1,KFDA,0.8566666666666667,0.08787617550976042,5
rest1_vs_type1,LDA,0.86,0.09902300518341962,5
rest1_vs_type1,RBF-SVM,0.8800000000000001,0.0776387646590141,5
rest2_vs_type2,KFDA,0.7133333333333334,0.1309155792443698,5
rest2_vs_type2,LDA,0.7033333333333334,0.1749603129601428,5
rest2_vs_type2,RBF-SVM,0.7033333333333334,0.15156590059186206,5
