comparison,classifier,participant_accuracy_mean,participant_accuracy_std,n_subjects
rest1_vs_type1,KFDA,0.8433333333333334,0.10178954323068311,5
rest1_vs_type1,LDA,0.8333333333333333,0.12018504251546627,5
rest1_vs_type1,RBF-SVM,0.8266666666666665,0.1336454679781964,5
rest2_vs_type2,KFDA,0.71,0.14023789311975085,5
rest2_vs_type2,LDA,0.7033333333333334,0.14161763857498672,5
rest2_vs_type2,RBF-SVM,0.6866666666666668,0.14972196454317144,5
