analysis,held_out_subject,comparison,outer_fold,step,candidate_index,candidate_name,cv_accuracy,improvement,accepted
inter,lin,rest1_vs_type1,3,9,51,PLV__F7__Fz__theta,0.8208333333333333,0.012499999999999956,True
inter,lin,rest1_vs_type1,3,10,139,PLV__F3__F4__gamma,0.8291666666666666,0.008333333333333304,True
inter,lin,rest1_vs_type1,3,11,63,PLV__FP1__Fz__alpha,0.8375,0.008333333333333415,True
inter,lin,rest1_vs_type1,3,12,28,PLV__FP2__F8__delta,0.8374999999999999,-1.1102230246251565e-16,False
inter,pftest,rest1_vs_type1,4,1,79,PLV__Fz__F8__alpha,0.6666666666666666,,True
inter,pftest,rest1_vs_type1,4,2,76,PLV__F3__F4__alpha,0.7041666666666667,0.03750000000000009,True
inter,pftest,rest1_vs_type1,4,3,66,PLV__FP2__F7__alpha,0.7458333333333333,0.04166666666666663,True
inter,pftest,rest1_vs_type1,4,4,32,PLV__F7__F8__delta,0.7833333333333333,0.03749999999999998,True
inter,pftest,rest1_vs_type1,4,5,14,ASYM_LOGRATIO__F7__F8__alpha,0.7875,0.004166666666666652,True
inter,pftest,rest1_vs_type1,4,6,78,PLV__Fz__F4__alpha,0.7916666666666666,0.004166666666666652,True
inter,pftest,rest1_vs_type1,4,7,48,PLV__FP2__F4__theta,0.7958333333333333,0.004166666666666652,True
inter,pftest,rest1_vs_type1,4,8,46,PLV__FP2__F3__theta,0.7958333333333333,0.0,False
inter,yen,rest1_vs_type1,5,1,79,PLV__Fz__F8__alpha,0.6958333333333333,,True
inter,yen,rest1_vs_type1,5,2,113,PLV__F7__F3__beta_high,0.7541666666666667,0.05833333333333335,True
inter,yen,rest1_vs_type1,5,3,131,PLV__FP2__Fz__gamma,0.8041666666666667,0.050000000000000044,True
inter,yen,rest1_vs_type1,5,4,42,PLV__FP1__Fz__theta,0.8374999999999999,0.033333333333333215,True
inter,yen,rest1_vs_type1,5,5,20,PLV__FP1__F3__delta,0.8541666666666665,0.016666666666666607,True
inter,yen,rest1_vs_type1,5,6,82,PLV__FP1__F7__beta_low,0.8541666666666667,2.220446049250313e-16,False
inter,irene,rest2_vs_type2,1,1,71,PLV__F7__F3__alpha,0.6583333333333334,,True
inter,irene,rest2_vs_type2,1,2,58,PLV__Fz__F8__theta,0.6833333333333333,0.02499999999999991,True
inter,irene,rest2_vs_type2,1,3,65,PLV__FP1__F8__alpha,0.7041666666666667,0.02083333333333337,True
inter,irene,rest2_vs_type2,1,4,7,ASYM_LOGRATIO__F3__F4__theta,0.7041666666666667,0.0,False
inter,jh,rest2_vs_type2,2,1,71,PLV__F7__F3__alpha,0.65,,True
inter,jh,rest2_vs_type2,2,2,80,PLV__F4__F8__alpha,0.6666666666666666,0.016666666666666607,True
inter,jh,rest2_vs_type2,2,3,140,PLV__F3__F8__gamma,0.6916666666666667,0.025000000000000022,True
inter,jh,rest2_vs_type2,2,4,68,PLV__FP2__Fz__alpha,0.7000000000000001,0.008333333333333415,True
inter,jh,rest2_vs_type2,2,5,85,PLV__FP1__F4__beta_low,0.7083333333333333,0.008333333333333193,True
inter,jh,rest2_vs_type2,2,6,9,ASYM_LOGRATIO__F3__F4__beta_low,0.7125,0.004166666666666763,True
