comparison,classifier,lopo_accuracy_mean,lopo_accuracy_std,n_held_out_subjects,pooled_epoch_accuracy
rest1_vs_type1,KFDA,0.5333333333333333,0.048591265790377515,5,0.5333333333333333
rest1_vs_type1,LDA,0.5233333333333333,0.05602578771323871,5,0.5233333333333333
rest1_vs_type1,RBF-SVM,0.5333333333333333,0.05773502691896257,5,0.5333333333333333
rest2_vs_type2,KFDA,0.48999999999999994,0.08465616732800198,5,0.49
rest2_vs_type2,LDA,0.5266666666666666,0.05348935511960405,5,0.5266666666666666
rest2_vs_type2,RBF-SVM,0.5166666666666666,0.03726779962499649,5,0.5166666666666667
