held_out_subject,comparison,outer_fold,classifier,accuracy,n_selected_features,selected_features,sfs_inner_accuracy,grid_inner_accuracy,best_params
irene,rest2_vs_type2,1,LDA,0.5,4,PLV__F7__F3__alpha;COH__FP2__F7__theta;BP__F3__beta_high;PLV__F3__Fz__delta,0.7041666666666666,,{}
irene,rest2_vs_type2,1,RBF-SVM,0.5,4,PLV__F7__F3__alpha;COH__FP2__F7__theta;BP__F3__beta_high;PLV__F3__Fz__delta,0.7041666666666666,0.6625,"{""clf__C"": 0.1, ""clf__gamma"": 0.08720372697238048}"
irene,rest2_vs_type2,1,KFDA,0.5,4,PLV__F7__F3__alpha;COH__FP2__F7__theta;BP__F3__beta_high;PLV__F3__Fz__delta,0.7041666666666666,0.7,"{""clf__C"": 50.0, ""clf__gamma"": 0.012386912896918909}"
jh,rest2_vs_type2,2,LDA,0.5166666666666667,4,COH__F7__F3__alpha;ASYM_LOGRATIO__F3__F4__beta_low;ASYM_LOGRATIO__FP1__FP2__alpha;COH__FP1__F8__alpha,0.7125,,{}
jh,rest2_vs_type2,2,RBF-SVM,0.5,4,COH__F7__F3__alpha;ASYM_LOGRATIO__F3__F4__beta_low;ASYM_LOGRATIO__FP1__FP2__alpha;COH__FP1__F8__alpha,0.7125,0.6666666666666666,"{""clf__C"": 1.0, ""clf__gamma"": 0.007604489997873477}"
jh,rest2_vs_type2,2,KFDA,0.48333333333333334,4,COH__F7__F3__alpha;ASYM_LOGRATIO__F3__F4__beta_low;ASYM_LOGRATIO__FP1__FP2__alpha;COH__FP1__F8__alpha,0.7125,0.6375,"{""clf__C"": 1000.0, ""clf__gamma"": 0.007604489997873477}"
lin,rest2_vs_type2,3,LDA,0.5,4,COH__FP2__F4__beta_low;PLV__FP2__F3__beta_low;BP__F4__theta;COH__F3__F8__gamma,0.6583333333333333,,{}
lin,rest2_vs_type2,3,RBF-SVM,0.48333333333333334,4,COH__FP2__F4__beta_low;PLV__FP2__F3__beta_low;BP__F4__theta;COH__F3__F8__gamma,0.6583333333333333,0.6124999999999999,"{""clf__C"": 1.0, ""clf__gamma"": 0.03286616756321879}"
lin,rest2_vs_type2,3,KFDA,0.4,4,COH__FP2__F4__beta_low;PLV__FP2__F3__beta_low;BP__F4__theta;COH__F3__F8__gamma,0.6583333333333333,0.6041666666666667,"{""clf__C"": 100.0, ""clf__gamma"": 0.007604489997873477}"
pftest,rest2_vs_type2,4,LDA,0.6,4,COH__F7__F3__alpha;BP__F7__beta_high;PLV__F4__F8__alpha;COH__F3__F8__alpha,0.7,,{}
pftest,rest2_vs_type2,4,RBF-SVM,0.55,4,COH__F7__F3__alpha;BP__F7__beta_high;PLV__F4__F8__alpha;COH__F3__F8__alpha,0.7,0.6833333333333333,"{""clf__C"": 1.0, ""clf__gamma"": 0.053535523746494146}"
pftest,rest2_vs_type2,4,KFDA,0.55,4,COH__F7__F3__alpha;BP__F7__beta_high;PLV__F4__F8__alpha;COH__F3__F8__alpha,0.7,0.6666666666666666,"{""clf__C"": 1.0, ""clf__gamma"": 0.14204568230027764}"
yen,rest2_vs_type2,5,LDA,0.5333333333333333,5,COH__F7__F3__alpha;COH__F7__F4__alpha;COH__F3__F8__delta;COH__FP1__F7__delta;COH__F7__F8__beta_high,0.7083333333333334,,{}
yen,rest2_vs_type2,5,RBF-SVM,0.5333333333333333,5,COH__F7__F3__alpha;COH__F7__F4__alpha;COH__F3__F8__delta;COH__FP1__F7__delta;COH__F7__F8__beta_high,0.7083333333333334,0.6833333333333333,"{""clf__C"": 1.0, ""clf__gamma"": 0.012386912896918909}"
yen,rest2_vs_type2,5,KFDA,0.5166666666666667,5,COH__F7__F3__alpha;COH__F7__F4__alpha;COH__F3__F8__delta;COH__FP1__F7__delta;COH__F7__F8__beta_high,0.7083333333333334,0.6958333333333333,"{""clf__C"": 10.0, ""clf__gamma"": 0.14204568230027764}"
